timestamp,open,high,low,close,volume
1774112400000,70301.66000000,70426.18000000,70210.00000000,70304.08000000,444.64800000
1774116000000,70303.45000000,70534.38000000,70290.48000000,70389.19000000,200.58580000
1774119600000,70389.18000000,70448.79000000,70324.70000000,70396.00000000,140.45698000
1774123200000,70396.01000000,70508.11000000,70358.90000000,70462.28000000,697.39549000
1774126800000,70462.27000000,70516.82000000,70268.06000000,70345.57000000,629.83259000
1774130400000,70345.57000000,70384.95000000,70265.55000000,70277.22000000,737.88495000
1774134000000,70277.21000000,70293.82000000,68571.42000000,68918.12000000,2509.60568000
1774137600000,68918.12000000,69155.86000000,68228.50000000,68954.71000000,2161.16442000
1774141200000,68954.70000000,69100.00000000,68762.31000000,68962.40000000,809.55651000
1774144800000,68962.40000000,69411.10000000,68951.21000000,69278.12000000,506.62838000
1774148400000,69278.12000000,69588.79000000,69123.13000000,69339.99000000,671.14040000
1774152000000,69340.00000000,69526.85000000,69215.89000000,69358.00000000,626.75701000
1774155600000,69358.00000000,69358.00000000,69150.00000000,69153.41000000,322.14134000
1774159200000,69153.41000000,69245.79000000,69059.87000000,69164.06000000,378.08519000
1774162800000,69164.06000000,69250.08000000,68892.93000000,68919.38000000,432.94301000
1774166400000,68919.37000000,68990.67000000,68523.96000000,68804.77000000,1053.77702000
1774170000000,68804.77000000,68901.65000000,68587.78000000,68826.20000000,383.82763000
1774173600000,68826.21000000,68847.83000000,68584.27000000,68648.17000000,360.03346000
1774177200000,68648.16000000,68691.03000000,68110.55000000,68217.95000000,784.43160000
1774180800000,68217.94000000,68763.18000000,68199.04000000,68654.83000000,484.24300000
1774184400000,68654.83000000,68957.24000000,68548.32000000,68700.02000000,548.07349000
1774188000000,68700.02000000,68915.27000000,68542.10000000,68711.66000000,385.54476000
1774191600000,68711.66000000,69005.71000000,68700.00000000,68847.96000000,391.17296000
1774195200000,68847.97000000,68885.53000000,68665.62000000,68805.58000000,258.25035000
1774198800000,68805.58000000,68848.32000000,68665.34000000,68673.02000000,252.16281000
1774202400000,68672.85000000,68743.18000000,68344.57000000,68618.58000000,340.01718000
1774206000000,68618.57000000,68626.07000000,68145.01000000,68199.93000000,472.99305000
1774209600000,68199.93000000,68498.40000000,68080.00000000,68176.46000000,319.53245000
1774213200000,68176.47000000,68228.71000000,67360.66000000,67899.97000000,1535.47353000
1774216800000,67899.97000000,68396.94000000,67571.67000000,68339.37000000,856.56100000
1774220400000,68339.38000000,68474.00000000,67839.99000000,67859.00000000,509.27627000
1774224000000,67859.00000000,68161.41000000,67445.18000000,67669.99000000,823.69218000
1774227600000,67670.00000000,68157.31000000,67536.01000000,67905.00000000,628.21786000
1774231200000,67905.00000000,68400.00000000,67801.67000000,68320.72000000,627.90507000
1774234800000,68320.72000000,68585.12000000,68059.88000000,68074.60000000,415.80047000
1774238400000,68074.60000000,68550.00000000,68057.56000000,68541.00000000,486.61149000
1774242000000,68541.00000000,68915.40000000,68541.00000000,68899.92000000,1162.54953000
1774245600000,68899.92000000,68904.42000000,67698.86000000,67874.19000000,1218.88217000
1774249200000,67874.20000000,68464.42000000,67502.48000000,68333.16000000,1946.35809000
1774252800000,68333.16000000,68696.91000000,68328.55000000,68434.26000000,1238.43118000
1774256400000,68434.27000000,68471.11000000,67916.14000000,68334.01000000,382.31585000
1774260000000,68334.01000000,68714.28000000,68299.82000000,68551.02000000,494.85509000
1774263600000,68551.02000000,71499.00000000,68544.15000000,70122.15000000,7050.35572000
1774267200000,70122.15000000,70877.35000000,69671.95000000,70752.15000000,1915.66623000
1774270800000,70752.14000000,71587.98000000,70600.00000000,71481.13000000,1712.52184000
1774274400000,71481.13000000,71817.09000000,71127.14000000,71446.46000000,1663.17727000
1774278000000,71446.46000000,71660.01000000,70103.21000000,70131.48000000,2051.70929000
1774281600000,70131.48000000,70753.43000000,70131.47000000,70561.54000000,1367.86918000
1774285200000,70561.54000000,71119.09000000,70363.63000000,71085.16000000,673.70407000
1774288800000,71085.16000000,71195.21000000,70879.85000000,71076.22000000,593.89042000
1774292400000,71076.22000000,71246.01000000,70649.40000000,70679.05000000,615.85820000
1774296000000,70679.04000000,70983.33000000,70559.03000000,70915.59000000,394.04509000
1774299600000,70915.59000000,70998.00000000,70827.66000000,70851.35000000,222.54858000
1774303200000,70851.36000000,70896.76000000,70520.22000000,70780.22000000,279.98300000
1774306800000,70780.22000000,70998.00000000,70404.39000000,70906.45000000,368.14332000
1774310400000,70906.45000000,71099.96000000,70423.36000000,70679.20000000,735.82970000
1774314000000,70679.20000000,70891.53000000,70278.46000000,70516.57000000,730.30371000
1774317600000,70516.57000000,70698.00000000,70369.46000000,70453.37000000,431.98798000
1774321200000,70453.38000000,70583.36000000,70404.54000000,70542.90000000,380.97532000
1774324800000,70542.90000000,70741.64000000,70247.91000000,70372.44000000,474.91642000
1774328400000,70372.45000000,70374.38000000,70119.06000000,70283.85000000,641.69358000
1774332000000,70283.84000000,70572.83000000,70253.23000000,70541.38000000,850.05748000
1774335600000,70541.39000000,71400.00000000,70488.00000000,71291.70000000,1722.67702000
1774339200000,71291.70000000,71349.10000000,70850.11000000,70964.15000000,725.27631000
1774342800000,70964.16000000,71368.61000000,70851.77000000,71316.97000000,511.50447000
1774346400000,71316.98000000,71328.59000000,71078.09000000,71272.87000000,680.81546000
1774350000000,71272.87000000,71327.26000000,70964.94000000,71157.77000000,560.33228000
1774353600000,71157.77000000,71177.66000000,70860.18000000,70956.48000000,460.81810000
1774357200000,70956.48000000,71059.59000000,69968.02000000,70100.46000000,1729.62355000
1774360800000,70100.46000000,70462.91000000,69507.34000000,69869.93000000,1973.02189000
1774364400000,69869.93000000,70255.37000000,69770.85000000,69873.04000000,1419.67177000
1774368000000,69873.04000000,70001.92000000,69340.08000000,69476.87000000,889.76128000
1774371600000,69476.88000000,69512.73000000,68923.07000000,69238.43000000,1294.24297000
1774375200000,69238.44000000,69746.40000000,69168.64000000,69430.24000000,808.06583000
1774378800000,69430.25000000,69700.00000000,69277.04000000,69377.33000000,547.42601000
1774382400000,69377.33000000,70295.54000000,69296.15000000,70093.19000000,1018.45154000
1774386000000,70093.19000000,70400.00000000,69901.39000000,70332.93000000,686.65263000
1774389600000,70332.93000000,70586.86000000,70140.50000000,70316.96000000,686.91503000
1774393200000,70316.96000000,70832.54000000,70270.00000000,70556.74000000,741.40211000
1774396800000,70556.74000000,71100.28000000,70476.90000000,70840.75000000,784.33083000
1774400400000,70840.75000000,70977.35000000,70629.72000000,70677.18000000,624.19197000
1774404000000,70677.19000000,70781.39000000,70490.77000000,70531.09000000,582.86416000
1774407600000,70531.10000000,70808.37000000,70408.00000000,70716.70000000,513.15296000
1774411200000,70716.70000000,70977.49000000,70703.83000000,70968.64000000,623.46021000
1774414800000,70968.64000000,71345.00000000,70940.00000000,71117.66000000,850.19172000
1774418400000,71117.65000000,71260.00000000,70984.67000000,70991.83000000,934.75878000
1774422000000,70991.82000000,71270.11000000,70891.31000000,70926.88000000,470.72474000
1774425600000,70926.88000000,71503.94000000,70800.00000000,71248.39000000,1150.83138000
1774429200000,71248.40000000,71415.12000000,71101.99000000,71345.91000000,598.42707000
1774432800000,71345.91000000,71641.91000000,71291.69000000,71501.39000000,485.22161000
1774436400000,71501.40000000,72026.09000000,71470.49000000,71678.97000000,1053.03231000
1774440000000,71678.97000000,71955.17000000,71105.43000000,71715.24000000,1032.92186000
1774443600000,71715.24000000,71963.71000000,71515.84000000,71581.42000000,982.27587000
1774447200000,71581.42000000,71699.87000000,71230.51000000,71234.28000000,810.44092000
1774450800000,71234.28000000,71301.37000000,70530.47000000,70832.99000000,1384.84596000
1774454400000,70832.99000000,71752.88000000,70719.26000000,71324.01000000,1283.82328000
1774458000000,71324.01000000,71389.14000000,70720.38000000,70779.00000000,662.98589000
1774461600000,70778.99000000,71149.07000000,70681.07000000,70810.34000000,535.29926000
1774465200000,70810.34000000,71093.37000000,70777.51000000,70883.31000000,513.05944000
1774468800000,70883.32000000,71058.82000000,70646.34000000,71009.50000000,573.58151000
1774472400000,71009.50000000,71175.00000000,70949.30000000,71035.24000000,379.86408000
1774476000000,71035.25000000,71594.11000000,70947.61000000,71369.08000000,505.87572000
1774479600000,71369.07000000,71511.83000000,71189.55000000,71336.53000000,383.33913000
1774483200000,71336.53000000,71436.82000000,71142.38000000,71299.27000000,548.42613000
1774486800000,71299.27000000,71377.04000000,71159.06000000,71252.11000000,522.16838000
1774490400000,71252.11000000,71289.49000000,70672.37000000,70893.01000000,575.89477000
1774494000000,70893.01000000,70968.66000000,70685.69000000,70921.47000000,510.54950000
1774497600000,70921.47000000,70921.47000000,70721.46000000,70772.01000000,433.11432000
1774501200000,70772.01000000,70796.32000000,69942.96000000,70016.98000000,1271.74189000
1774504800000,70016.97000000,70152.63000000,69855.73000000,70097.18000000,1016.19011000
1774508400000,70097.19000000,70167.60000000,69805.00000000,70087.44000000,713.03812000
1774512000000,70087.44000000,70127.69000000,69806.39000000,70024.77000000,510.82818000
1774515600000,70024.78000000,70144.44000000,69409.67000000,69562.41000000,1313.07806000
1774519200000,69562.41000000,69719.96000000,69464.58000000,69517.68000000,694.15594000
1774522800000,69517.68000000,69667.56000000,69192.96000000,69276.01000000,803.66639000
1774526400000,69276.01000000,69461.28000000,69226.34000000,69436.42000000,589.82378000
1774530000000,69436.42000000,69877.45000000,69218.00000000,69646.59000000,1361.59869000
1774533600000,69646.59000000,69837.12000000,69259.25000000,69479.92000000,943.35709000
1774537200000,69479.91000000,69497.73000000,68632.40000000,69082.64000000,1805.07582000
1774540800000,69082.64000000,69142.94000000,68823.21000000,68932.52000000,949.52674000
1774544400000,68932.53000000,69162.00000000,68377.83000000,68486.86000000,1130.52816000
1774548000000,68486.86000000,68603.75000000,68153.00000000,68497.25000000,1402.56662000
1774551600000,68497.25000000,68681.54000000,68358.80000000,68534.36000000,543.97259000
1774555200000,68534.37000000,69478.42000000,68436.74000000,69005.21000000,1707.65634000
1774558800000,69005.21000000,69205.43000000,68879.05000000,68921.10000000,598.68777000
1774562400000,68921.10000000,69028.89000000,68603.24000000,68892.67000000,484.39394000
1774566000000,68892.66000000,68994.16000000,68640.00000000,68820.31000000,390.41835000
1774569600000,68820.31000000,68965.15000000,68531.37000000,68785.01000000,634.46014000
1774573200000,68785.00000000,69066.51000000,68700.00000000,69051.27000000,555.05692000
1774576800000,69051.27000000,69179.05000000,68862.00000000,68903.59000000,948.45642000
1774580400000,68903.58000000,68924.00000000,68668.72000000,68767.51000000,576.98772000
1774584000000,68767.50000000,68791.40000000,68304.14000000,68578.00000000,846.47748000
1774587600000,68577.99000000,68865.88000000,68511.79000000,68630.77000000,773.74806000
1774591200000,68630.76000000,68846.00000000,68567.62000000,68656.15000000,672.08820000
1774594800000,68656.16000000,68955.53000000,68399.18000000,68540.48000000,1641.76445000
1774598400000,68540.49000000,68635.07000000,67609.29000000,67920.50000000,1817.58289000
1774602000000,67920.51000000,67960.32000000,67548.67000000,67695.81000000,812.25094000
1774605600000,67695.81000000,67778.99000000,66326.38000000,66502.41000000,3012.92630000
1774609200000,66502.41000000,66848.05000000,66231.96000000,66702.78000000,1683.20205000
